" The customer does not exist in the system anymore."," El cliente ha dejado de existir en el sistema."
" [deleted]"," [borrado]"
" and "," y "
"%s (Default Template from Locale)","%s (Plantilla predeterminadas desde Local)"
"%s cache type(s) disabled.","%s tipo(s) de cache inhabilitado."
"%s cache type(s) enabled.","%s tipo(s) de cache habilitado."
"%s cache type(s) refreshed.","%s tipo(s) de cache actualizado."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Para el ""Servidor Local"" necesitará usar ruta relativa para instalar Magento var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Para Estados Unidos los nombres de estado de 2 letras)"
"(If left empty will be auto-generated)","(Si se deja en blando será autogenerado)"
"(Leave empty for first spreadsheet)","(Dejar vacio para la primer hoja de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Los productos serán añadidos o actualizados para esta tienda si la columna ""tienda"" esta en blanco o perdida en el archivo de importación.)"
"(Shift-)Click or drag to change value","(Shift-)Clic o arrastre para cambiar valor"
"(Starting with)","(Comienza con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cuando sea 'No', sólo los campos trazados serán importados. Cuando sea trazado, utilice 'columna1', 'columna2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Tiene que incrementar php memory_limit antes de cambiar este valor)"
"(\\t for tab)","(\\t para tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Si la indexación esta en progreso, será anulada y un proceso nuevo de indexación comenzará"
"* Required Fields","* Campos Obligatorios"
"- Click on any of the time parts to increase it","- Clic en cualquiera de las partes de la hora para aumentarla"
"- Hold mouse button on any of the above buttons for faster selection.","- Sostenga el botón del mouse en cualquiera de los botones de arriba para una selección más rápida."
"- Use the %s buttons to select month","- Utilice el botón %s para seleccionar mes"
"- Use the %s, %s buttons to select year","- Utilice los %s, %s botones para seleccionar mes"
"- or Shift-click to decrease it","- shift-clic para aumentarlo"
"- or click and drag for faster selection.","- o clic y arrastre para selección más rápida."
"-- Not Selected --","-- No Seleccionado --"
"-- Please Select --","-- Favor de seleccionar --"
"-- Please Select Billing Agreement--","-- Favor de seleccionar el Acuerdo de Pago --"
"-- Please Select a Category --","-- Favor de seleccionar una Categoría --"
"-- Please select --","-- Favor de seleccionar --"
"--Please Select--","--Favor de seleccionar--"
"1 Hour","1 Hora"
"12 Hours","12 Horas"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"24h","24h"
"2YTD","2AHD"
"6 Hours","6 Horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> Error 404 </h1><p>Página no encontrada.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicita acceso a tu cuenta"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atención</strong>: Ingresa el codigo con mayúsculas y minúsculas."
"A user with the same user name or email aleady exists.","Un usuario con el mismo nombre de usuario o dirección de correo electrónico ya existe."
"API Key","API Key"
"API Key Confirmation","API Key Confirmation"
"ASCII","ASCII"
"Abandoned Carts","Carritos Abandonados"
"About the calendar","Acerca del calendario"
"Access Denied","Acceso Denegado"
"Access denied","Acceso denegado"
"Access denied.","Acceso denegado."
"Account Created in:","Cuenta creada en:"
"Account Created on (%s):","Cuenta creada en (%s):"
"Account Created on:","Cuenta creada en:"
"Account Information","Información de la Cuenta"
"Account Status","Estado de la cuenta"
"Account status","Estado de la cuenta"
"Action","Acción"
"Actions","Acciones"
"Actions XML","Acciones XML"
"Active","Activo"
"Add","Añadir"
"Add Exception","Añadir Excepción"
"Add Field Mapping","Añadir Campo Seleccionado"
"Add Field with URL:","Añadir Campo con URL:"
"Add New","Añadir Nuevo"
"Add New Image","Añadir Nueva Imágen"
"Add New Profile","Añadir Nuevo Perfil"
"Add New Role","Añadir Nuevo Rol"
"Add New Template","Añadir Nueva Plantilla"
"Add New URL Rewrite","Añadir Reescritura de URL"
"Add New User","Añadir Nuevo Usuario"
"Add New Variable","Añadir Nueva Variable"
"Add Products","Añadir Productos"
"Add URL Rewrite","Añadir Reescritura de URL"
"Add URL Rewrite for a Category","Añadir Reescritura de URL para una Categoría"
"Add URL Rewrite for a Product","Añadir Reescritura de URL para un Producto"
"Add after","Añadir después"
"Additional Cache Management","Gestión de caché Adicional"
"Address Type:","Tipo de Dirección:"
"Admin","Administrador"
"Advanced Admin Section","Sección de Administrador Avanzada"
"Advanced Profiles","Perfiles Avanzados"
"Advanced Section","Sección Avanzada"
"After authorization application will have access to you account.","Después de que un administrador lo apruebe, usted tendrá acceso a su cuenta."
"All","Todos"
"All Allowed Countries","Todos los países permitidos"
"All Cache","Toda la Cache"
"All Files","Todos los Archivos"
"All Reviews","Todos los Comentarios"
"All Store Views","Toda las Vistas de la Tienda"
"All Tags","Todas las etiquetas"
"All Websites","Todos los sitios web"
